"Taxa"	"Hera_1"	"Wolverine_1"	"Hamlet_11"	"Hera_11"	"JarJarBinks_11"	"Hera_14"	"Iris_14"	"JarJarBinks_14"	"Kubo_14"	"Wolverine_14"	"JarJarBinks_15"	"Kubo_15"	"Iris_17"	"Kubo_17"	"Lambchop_17"	"Wolverine_17"	"Hamlet_18"	"Hera_18"	"Iris_18"	"JarJarBinks_18"	"Kubo_18"	"Lambchop_18"	"Wolverine_18"	"Ophelia_19"	"Wolverine_19"	"Hera_2"	"JarJarBinks_2"	"Lambchop_2"	"Goose_20"	"Hamlet_20"	"Hera_20"	"Iris_20"	"Korra_20"	"Ophelia_20"	"Hamlet_21"	"JarJarBinks_21"	"Korra_21"	"Kubo_21"	"Goose_22"	"Hamlet_22"	"Hera_22"	"Iris_22"	"Kubo_22"	"Hamlet_23"	"Iris_23"	"Korra_23"	"Hera_24"	"Kubo_24"	"Ophelia_24"	"Wolverine_24"	"Kubo_25"	"JarJarBinks_29"	"Korra_29"	"JarJarBinks_3"	"Kubo_30"	"Hamlet_31"	"JarJarBinks_32"	"Goose_37"	"Hera_37"	"Kubo_37"	"Lambchop_37"	"Ophelia_37"	"Wolverine_37"	"Goose_4"	"Hamlet_41"	"Hera_41"	"Goose_42"	"Lambchop_42"	"Ophelia_43"	"Goose_44"	"Iris_44"	"JarJarBinks_44"	"Lambchop_44"	"Hamlet_45"	"Hera_45"	"JarJarBinks_45"	"Korra_45"	"Ophelia_45"	"Goose_46"	"Hamlet_46"	"Iris_46"	"Lambchop_46"	"Hamlet_48"	"Hera_48"	"Iris_48"	"JarJarBinks_48"	"Korra_48"	"Kubo_48"	"Lambchop_48"	"Ophelia_48"	"Wolverine_48"	"Iris_49"	"JarJarBinks_49"	"Kubo_49"	"Ophelia_49"	"Wolverine_49"	"JarJarBinks_50"	"Korra_50"	"Kubo_50"	"Lambchop_50"	"Ophelia_50"	"Wolverine_50"	"Lambchop_51"	"Goose_52"	"JarJarBinks_52"	"Kubo_52"	"Hera_53"	"Kubo_53"	"Iris_55"	"Lambchop_55"	"Ophelia_55"	"Ophelia_57"	"Wolverine_57"	"Goose_58"	"Wolverine_58"	"Goose_59"	"Hamlet_59"	"Iris_59"	"Ophelia_59"	"Korra_6"	"Iris_60"	"Wolverine_60"	"Hamlet_67"	"Hera_67"	"JarJarBinks_68"	"Hera_7"	"Iris_7"	"Korra_9"
"k__Bacteria|p__Bacillota|c__Negativicutes"	0.654	0.651777777777778	0.343111111111111	0.548222222222222	0.364222222222222	0.647333333333333	0.370888888888889	0.384444444444444	0.241555555555556	0.557555555555556	0.445333333333333	0.562222222222222	0.597111111111111	0.563777777777778	0.297333333333333	0.701555555555556	0.648	0.591111111111111	0.517111111111111	0.438444444444444	0.631777777777778	0.660444444444444	0.722444444444444	0.586666666666667	0.552444444444444	0.106444444444444	0.102222222222222	0.056	0.588666666666667	0.402	0.548222222222222	0.679111111111111	0.359333333333333	0.334444444444444	0.611111111111111	0.608222222222222	0.492444444444444	0.580666666666667	0.433777777777778	0.155333333333333	0.402888888888889	0.722444444444444	0.555111111111111	0.601333333333333	0.602666666666667	0.442	0.525333333333333	0.520222222222222	0.458	0.766444444444444	0.281111111111111	0.534444444444444	0.447555555555556	0.610666666666667	0.350666666666667	0.606666666666667	0.431444444444444	0.510222222222222	0.419777777777778	0.667111111111111	0.441111111111111	0.165555555555556	0.667777777777778	0.00233333333333333	0.502111111111111	0.571333333333333	0.551777777777778	0.499333333333333	0.479555555555556	0.701333333333333	0.499555555555556	0.0471111111111111	0.574666666666667	0.290444444444444	0.312	0.155333333333333	0.322666666666667	0.492666666666667	0.373777777777778	0.422888888888889	0.455111111111111	0.491111111111111	0.479555555555556	0.472666666666667	0.577777777777778	0.382	0.481111111111111	0.52	0.705777777777778	0.356	0.464666666666667	0.694888888888889	0.434444444444444	0.589111111111111	0.334444444444444	0.547333333333333	0.653777777777778	0.590888888888889	0.596222222222222	0.618666666666667	0.086	0.587111111111111	0.722444444444444	0.616888888888889	0.656	0.298222222222222	0.640888888888889	0.576222222222222	0.635555555555556	0.342444444444444	0.377555555555556	0.318222222222222	0.370444444444444	0.609111111111111	0.619777777777778	0.572666666666667	0.444222222222222	0.488888888888889	0.248888888888889	0.418333333333333	0.305555555555556	0.629333333333333	0.0673333333333333	0.817111111111111	0.465555555555556	0.699555555555556	0.584222222222222	0.360666666666667
"k__Bacteria|p__Bacteroidota|c__Bacteroidia"	0.188444444444444	0.130444444444444	0.151333333333333	0.086	0.162222222222222	0.140444444444444	0.478222222222222	0.289333333333333	0.0793333333333333	0.152888888888889	0.153777777777778	0.0844444444444444	0.231555555555556	0.112444444444444	0.000222222222222222	0.193111111111111	0.184222222222222	0.239555555555556	0.325111111111111	0.184666666666667	0.185777777777778	0	0.114666666666667	0.263333333333333	0.294888888888889	0.636	0.458222222222222	0.269777777777778	0.143333333333333	0.193555555555556	0.223333333333333	0.151111111111111	0.168444444444444	0.175111111111111	0.145111111111111	0.191777777777778	0.157555555555556	0.150888888888889	0.165333333333333	0.0637777777777778	0.189555555555556	0.183555555555556	0.122222222222222	0.199333333333333	0.260666666666667	0.107333333333333	0.302444444444444	0.143333333333333	0.303555555555556	0.117555555555556	0.156444444444444	0.118222222222222	0.0451111111111111	0.114666666666667	0.0433333333333333	0.190222222222222	0.163888888888889	0.186	0.329111111111111	0.139333333333333	0.160444444444444	0.115777777777778	0.111555555555556	0.000555555555555556	0.147111111111111	0.193777777777778	0.145777777777778	0.386666666666667	0.138222222222222	0.0351111111111111	0.298222222222222	0.501555555555556	0.286444444444444	0.531333333333333	0.458444444444444	0.0677777777777778	0.435333333333333	0.168222222222222	0.345333333333333	0.390888888888889	0.356444444444444	0.378	0.304	0.274666666666667	0.239777777777778	0.146	0.218666666666667	0.314888888888889	0.117111111111111	0.415111111111111	0.197555555555556	0.152888888888889	0.168666666666667	0.244888888888889	0.427111111111111	0.186222222222222	0.137777777777778	0.290222222222222	0.212444444444444	0.259111111111111	0.0697777777777778	0.0606666666666667	0.207333333333333	0.167111111111111	0.142888888888889	0.261111111111111	0.0982222222222222	0.179777777777778	0.146666666666667	0.567555555555556	0.155777777777778	0.472222222222222	0.076	0.0882222222222222	0.0573333333333333	0.136222222222222	0.259111111111111	0.278444444444444	0.294888888888889	0.170222222222222	0.497333333333333	0.124	0.771333333333333	0.0331111111111111	0.182444444444444	0.125555555555556	0.139666666666667	0.375777777777778
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria"	0.0175555555555556	0.0275555555555556	0.00888888888888889	0.0931111111111111	0.126888888888889	0.0466666666666667	0.00555555555555556	0.022	0.567777777777778	0.00644444444444444	0.0322222222222222	0.126	0.00955555555555555	0.0893333333333333	0.686444444444444	0.00577777777777778	0.0148888888888889	0.01	0.00644444444444444	0.253555555555556	0.032	0.290888888888889	0.00755555555555556	0.01	0.00666666666666667	0.00488888888888889	0.00377777777777778	0.596888888888889	0.0653333333333333	0.293555555555556	0.0224444444444444	0.00577777777777778	0.24	0.358888888888889	0.106222222222222	0.102	0.216	0.113333333333333	0.221333333333333	0.704444444444444	0.298222222222222	0.00444444444444444	0.230444444444444	0.0213333333333333	0.00111111111111111	0.326222222222222	0.008	0.162	0.0131111111111111	0.004	0.507111111111111	0.196	0.46	0.0302222222222222	0.509111111111111	0.0446666666666667	0.228666666666667	0.145111111111111	0.00666666666666667	0.0288888888888889	0.216222222222222	0.640666666666667	0.0111111111111111	0.695	0.0752222222222222	0.0586666666666667	0.154	0.0171111111111111	0.137555555555556	0.0797777777777778	0.00688888888888889	0.221111111111111	0.0413333333333333	0.00622222222222222	0.0122222222222222	0.649777777777778	0.0977777777777778	0.136	0.0962222222222222	0.018	0.0368888888888889	0.0306666666666667	0.006	0.0273333333333333	0.00911111111111111	0.311555555555556	0.149333333333333	0.0211111111111111	0.0977777777777778	0.0557777777777778	0.205555555555556	0.00288888888888889	0.0771111111111111	0.0122222222222222	0.0702222222222222	0.0784444444444444	0.0577777777777778	0.0213333333333333	0.016	0.042	0.798444444444444	0.266666666666667	0.0166666666666667	0.105777777777778	0.0202222222222222	0.306	0.0182222222222222	0.0242222222222222	0.00488888888888889	0.0266666666666667	0.288222222222222	0.0326666666666667	0.438444444444444	0.227333333333333	0.207333333333333	0.156888888888889	0.068	0.00733333333333333	0.343777777777778	0.214555555555556	0.008	0.0731111111111111	0.0104444444444444	0.004	0.156	0.0111111111111111	0.00822222222222222	0.0135555555555556
"k__Bacteria|p__Bacillota|c__Clostridia"	0.114666666666667	0.130666666666667	0.109111111111111	0.177777777777778	0.135111111111111	0.104	0.0766666666666667	0.277111111111111	0.0568888888888889	0.254444444444444	0.340444444444444	0.170222222222222	0.15	0.211777777777778	0.00955555555555555	0.09	0.138	0.134888888888889	0.114	0.103777777777778	0.119111111111111	0.0204444444444444	0.141111111111111	0.103111111111111	0.0997777777777778	0.036	0.0306666666666667	0.00577777777777778	0.167777777777778	0.101555555555556	0.193777777777778	0.123111111111111	0.196666666666667	0.113333333333333	0.116888888888889	0.0853333333333333	0.113555555555556	0.142444444444444	0.161333333333333	0.0586666666666667	0.0726666666666667	0.0668888888888889	0.0795555555555556	0.112666666666667	0.123111111111111	0.102	0.126888888888889	0.158888888888889	0.196444444444444	0.0962222222222222	0.0435555555555556	0.132666666666667	0.0393333333333333	0.220888888888889	0.0677777777777778	0.127111111111111	0.143777777777778	0.128888888888889	0.206222222222222	0.0991111111111111	0.15	0.0666666666666667	0.145777777777778	0.00244444444444444	0.237333333333333	0.134888888888889	0.117777777777778	0.0322222222222222	0.214444444444444	0.151111111111111	0.133333333333333	0.0133333333333333	0.0566666666666667	0.0724444444444445	0.118666666666667	0.117333333333333	0.0986666666666667	0.168	0.0966666666666667	0.106888888888889	0.111111111111111	0.02	0.191555555555556	0.209111111111111	0.143333333333333	0.128222222222222	0.117111111111111	0.0991111111111111	0.0593333333333333	0.134444444444444	0.0917777777777778	0.122222222222222	0.294444444444444	0.113111111111111	0.143333333333333	0.125777777777778	0.115555555555556	0.0746666666666667	0.130666666666667	0.0342222222222222	0.038	0.0457777777777778	0.0211111111111111	0.0793333333333333	0.16	0.112444444444444	0.159555555555556	0.169555555555556	0.179111111111111	0.0217777777777778	0.143777777777778	0.132222222222222	0.0955555555555556	0.0368888888888889	0.0973333333333333	0.105777777777778	0.181111111111111	0.184888888888889	0.0857777777777778	0.157111111111111	0.159555555555556	0.0675555555555555	0.0382222222222222	0.118666666666667	0.137333333333333	0.125333333333333	0.227777777777778	0.181555555555556
"k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria"	0.0157777777777778	0.0166666666666667	0.00755555555555556	0.00577777777777778	0.0102222222222222	0.0208888888888889	0.016	0.0111111111111111	0.00733333333333333	0.00488888888888889	0.00733333333333333	0.00755555555555556	0.008	0.0168888888888889	0.00333333333333333	0.00622222222222222	0.0108888888888889	0.0197777777777778	0.0102222222222222	0.0177777777777778	0.0182222222222222	0.026	0.00955555555555555	0.0246666666666667	0.00844444444444444	0.187333333333333	0.115555555555556	0.0644444444444444	0.0317777777777778	0.00622222222222222	0.00977777777777778	0.0151111111111111	0.0335555555555556	0.0126666666666667	0.00844444444444444	0.0126666666666667	0.0117777777777778	0.00511111111111111	0.016	0.00466666666666667	0.0342222222222222	0.00666666666666667	0.00977777777777778	0.0124444444444444	0.00666666666666667	0.0204444444444444	0.0117777777777778	0.0113333333333333	0.0108888888888889	0.0104444444444444	0.00911111111111111	0.0162222222222222	0.00733333333333333	0.0217777777777778	0.004	0.0244444444444444	0.0245555555555556	0.0248888888888889	0.0173333333333333	0.0133333333333333	0.0282222222222222	0.00422222222222222	0.00888888888888889	0.00555555555555556	0.0235555555555556	0.0215555555555556	0.0295555555555556	0.024	0.0193333333333333	0.0108888888888889	0.0233333333333333	0.151333333333333	0.0113333333333333	0.0417777777777778	0.0153333333333333	0.00511111111111111	0.0353333333333333	0.0224444444444444	0.06	0.0455555555555556	0.0204444444444444	0.0464444444444444	0.012	0.0122222222222222	0.0166666666666667	0.0293333333333333	0.0204444444444444	0.0153333333333333	0.0184444444444444	0.0142222222222222	0.0235555555555556	0.0191111111111111	0.0231111111111111	0.0293333333333333	0.0191111111111111	0.0426666666666667	0.032	0.022	0.0248888888888889	0.0257777777777778	0.00155555555555556	0.0286666666666667	0.0195555555555556	0.0266666666666667	0.0168888888888889	0.0193333333333333	0.00955555555555555	0.00888888888888889	0.0195555555555556	0.0262222222222222	0.0124444444444444	0.0228888888888889	0.00911111111111111	0.03	0.00688888888888889	0.0253333333333333	0.0104444444444444	0.0304444444444444	0.0151111111111111	0.00844444444444444	0.0226666666666667	0.0515555555555556	0.0862222222222222	0.00377777777777778	0.0284444444444444	0.0306666666666667	0.0218888888888889	0.0513333333333333
"k__Bacteria|p__Fusobacteriota|c__Fusobacteriia"	0.00644444444444444	0.026	0.375555555555556	0.0833333333333333	0.197333333333333	0.0371111111111111	0.048	0.00333333333333333	0.0455555555555556	0.0137777777777778	0.00666666666666667	0.0462222222222222	0.00266666666666667	0.000222222222222222	0	0	0.00133333333333333	0	0.00577777777777778	0.000888888888888889	0.000444444444444444	0	0.000888888888888889	0	0.0304444444444444	0.00355555555555556	0.0133333333333333	0	0.000444444444444444	0.00111111111111111	0.000222222222222222	0.024	0	0	0.00222222222222222	0	0	0.000666666666666667	0.00155555555555556	0.000666666666666667	0.000222222222222222	0.0131111111111111	0.000444444444444444	0.0508888888888889	0.00377777777777778	0	0.002	0	0.000222222222222222	0.000222222222222222	0.00155555555555556	0	0	0	0.00311111111111111	0.00155555555555556	0	0.00288888888888889	0.00711111111111111	0.0451111111111111	0.000666666666666667	0.00333333333333333	0.0224444444444444	0.000888888888888889	0.0121111111111111	0.0135555555555556	0	0.0371111111111111	0.00666666666666667	0	0.0284444444444444	0	0.0235555555555556	0.00933333333333333	0.0157777777777778	0.00133333333333333	0	0.00511111111111111	0.0142222222222222	0.00111111111111111	0.018	0.0286666666666667	0.00177777777777778	0.000666666666666667	0.0117777777777778	0.00155555555555556	0	0.0282222222222222	0.000222222222222222	0.00666666666666667	0.00511111111111111	0.004	0.000222222222222222	0.00422222222222222	0.000888888888888889	0.00955555555555555	0	0	0.00355555555555556	0.00533333333333333	0.000222222222222222	0.00688888888888889	0.00288888888888889	0	0	0.000666666666666667	0.00933333333333333	0.0142222222222222	0.0117777777777778	0.00555555555555556	0.00577777777777778	0.002	0.00733333333333333	0.000222222222222222	0.00444444444444444	0.00177777777777778	0.02	0.00488888888888889	0	0.0241111111111111	0.00288888888888889	0.0195555555555556	0.00422222222222222	0.000666666666666667	0.0135555555555556	0.00644444444444444	0.0175555555555556	0.000444444444444444
"k__Bacteria|p__Actinomycetota|c__Coriobacteriia"	0.00311111111111111	0.0155555555555556	0.004	0.00577777777777778	0.00222222222222222	0.00311111111111111	0.00244444444444444	0.0115555555555556	0.000666666666666667	0.00755555555555556	0.00933333333333333	0.00266666666666667	0.000666666666666667	0.00533333333333333	0.000222222222222222	0.00311111111111111	0.00266666666666667	0.00466666666666667	0.0204444444444444	0.000666666666666667	0.0117777777777778	0.000666666666666667	0.00311111111111111	0.01	0.00666666666666667	0.00533333333333333	0.111111111111111	0.00133333333333333	0.002	0.00155555555555556	0.00222222222222222	0.00155555555555556	0.002	0.00155555555555556	0.00933333333333333	0	0.00777777777777778	0.00555555555555556	0	0.0122222222222222	0.00155555555555556	0.00288888888888889	0.00155555555555556	0.000222222222222222	0.002	0.00177777777777778	0.0222222222222222	0.00333333333333333	0.012	0.00488888888888889	0.000888888888888889	0.00244444444444444	0.000444444444444444	0.00177777777777778	0.02	0.00444444444444444	0.00722222222222222	0.002	0.0135555555555556	0.00511111111111111	0.00333333333333333	0.00244444444444444	0.0311111111111111	0	0.00222222222222222	0.00533333333333333	0.00111111111111111	0.00333333333333333	0.00111111111111111	0.0211111111111111	0.00666666666666667	0.00488888888888889	0.00466666666666667	0.0482222222222222	0.0671111111111111	0.00222222222222222	0.01	0.00333333333333333	0.0137777777777778	0.0144444444444444	0.00133333333333333	0.00133333333333333	0.00422222222222222	0.00311111111111111	0.00155555555555556	0.00133333333333333	0.012	0.00133333333333333	0.00133333333333333	0.0157777777777778	0.0115555555555556	0.00333333333333333	0.00177777777777778	0.00466666666666667	0.00466666666666667	0.00977777777777778	0.002	0.000666666666666667	0.0111111111111111	0.00177777777777778	0.002	0.004	0.00311111111111111	0.00311111111111111	0.00355555555555556	0.00177777777777778	0.0622222222222222	0.0242222222222222	0.00155555555555556	0.00822222222222222	0.0155555555555556	0.0164444444444444	0.00288888888888889	0.00266666666666667	0.00577777777777778	0.000888888888888889	0.0168888888888889	0.00422222222222222	0.01	0.00166666666666667	0.00266666666666667	0.0286666666666667	0.00977777777777778	0.0224444444444444	0.0166666666666667	0.000888888888888889	0.000333333333333333	0.0162222222222222
"k__Bacteria|p__Actinomycetota|c__Actinomycetes"	0	0	0	0	0	0.000222222222222222	0	0.000222222222222222	0	0.000222222222222222	0	0	0	0	0	0	0	0	0.000222222222222222	0.000222222222222222	0	0	0	0	0	0.0202222222222222	0.158222222222222	0.00577777777777778	0	0.000222222222222222	0	0	0	0	0.000222222222222222	0	0	0.000222222222222222	0.000222222222222222	0	0	0	0	0.000222222222222222	0	0	0	0	0	0	0.000222222222222222	0	0	0	0	0	0.000222222222222222	0	0.000222222222222222	0	0	0	0	0.105888888888889	0.000111111111111111	0.000222222222222222	0	0	0	0.000222222222222222	0.000222222222222222	0.0602222222222222	0	0	0.000222222222222222	0.000222222222222222	0	0.000222222222222222	0	0	0	0	0.000222222222222222	0	0	0	0	0	0	0	0	0.000222222222222222	0.000222222222222222	0	0.000222222222222222	0	0	0	0.000444444444444444	0.000222222222222222	0.000222222222222222	0	0	0	0	0	0	0	0	0.000222222222222222	0.000222222222222222	0	0	0	0	0	0	0	0	0.000111111111111111	0.000222222222222222	0	0.0111111111111111	0	0	0	0.000222222222222222	0
"k__Bacteria|p__Bacillota|c__Bacilli"	0	0.000666666666666667	0.000444444444444444	0	0.00111111111111111	0	0	0.000888888888888889	0.000444444444444444	0.000888888888888889	0.00155555555555556	0.000222222222222222	0	0.000222222222222222	0.00266666666666667	0.000222222222222222	0	0	0	0	0.000222222222222222	0.00155555555555556	0.000666666666666667	0.002	0	0.000222222222222222	0	0	0.000666666666666667	0.000222222222222222	0	0	0	0.00133333333333333	0.000444444444444444	0	0.000888888888888889	0.00111111111111111	0.000444444444444444	0.000222222222222222	0.000666666666666667	0	0.000888888888888889	0.00155555555555556	0	0.000222222222222222	0.00133333333333333	0.000888888888888889	0.000444444444444444	0.000222222222222222	0	0	0.000222222222222222	0	0.002	0.000888888888888889	0.000222222222222222	0	0	0.00111111111111111	0	0	0.00111111111111111	0.187222222222222	0.000222222222222222	0.000666666666666667	0	0.000222222222222222	0.000444444444444444	0.000444444444444444	0.000222222222222222	0	0.00133333333333333	0.000222222222222222	0.000222222222222222	0.000222222222222222	0.000222222222222222	0.000888888888888889	0	0.000222222222222222	0	0.00355555555555556	0.000666666666666667	0.000222222222222222	0	0	0.000888888888888889	0	0	0.000222222222222222	0.000222222222222222	0	0	0.00111111111111111	0	0	0.00111111111111111	0	0.00466666666666667	0.0122222222222222	0.00133333333333333	0.000222222222222222	0.00622222222222222	0.00111111111111111	0.000222222222222222	0.000444444444444444	0.002	0.000666666666666667	0	0.00133333333333333	0.000444444444444444	0.000444444444444444	0.000222222222222222	0.00555555555555556	0.00111111111111111	0.000444444444444444	0.000222222222222222	0.000444444444444444	0.000222222222222222	0.00366666666666667	0.000222222222222222	0.00622222222222222	0	0.000222222222222222	0	0.000444444444444444	0.000111111111111111	0.000444444444444444
"k__Bacteria|p__Mycoplasmatota|c__Mollicutes"	0	0.000666666666666667	0	0	0.000666666666666667	0	0.002	0	0.000444444444444444	0.000888888888888889	0.00333333333333333	0.000444444444444444	0	0	0	0	0	0	0.000222222222222222	0	0.000666666666666667	0	0	0	0.000444444444444444	0	0.00688888888888889	0	0	0	0	0.000222222222222222	0	0.00266666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00533333333333333	0	0	0	0	0	0	0	0	0	0	0.000888888888888889	0	0.00133333333333333	0.000222222222222222	0	0	0	0	0	0.00266666666666667	0	0.00288888888888889	0.000444444444444444	0	0	0	0.000666666666666667	0	0.00288888888888889	0	0	0.000666666666666667	0	0	0	0	0	0	0	0	0.00177777777777778	0	0.000444444444444444	0	0.00133333333333333	0	0.000222222222222222	0	0	0	0	0.00244444444444444	0	0	0	0	0	0	0.00222222222222222	0.000888888888888889	0	0.000222222222222222	0.00288888888888889	0	0	0	0	0	0.000444444444444444	0.00133333333333333	0.00144444444444444	0.000888888888888889	0	0.00133333333333333	0	0	0	0	0
"k__Bacteria|p__Campylobacterota|c__Epsilonproteobacteria"	0	0	0	0	0	0.000222222222222222	0.000222222222222222	0	0	0.000444444444444444	0	0	0.000444444444444444	0	0.000222222222222222	0	0	0	0.000222222222222222	0	0	0	0	0.000222222222222222	0.000222222222222222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000111111111111111	0	0	0	0	0	0	0.000222222222222222	0	0	0	0	0	0	0.000222222222222222	0	0	0	0	0	0	0	0	0.000444444444444444	0	0	0	0	0	0	0	0	0	0	0.000222222222222222	0	0.000222222222222222	0	0	0.000444444444444444	0	0.000222222222222222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"k__Bacteria|p__Bacteroidota|c__Flavobacteriia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000222222222222222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000444444444444444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"k__Bacteria|p__Bacillota|c__Tissierellia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000333333333333333	0	0	0	0	0	0	0	0
"k__Bacteria|p__Deinococcota|c__Deinococci"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000222222222222222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"k__Bacteria|p__Mycoplasmatota|c__"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000222222222222222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
