"Taxa"	"Buddy_11"	"Joans_11"	"Padme_11"	"Ginger_14"	"Buddy_16"	"Buddy_17"	"Ivy_17"	"Padme_17"	"Buddy_18"	"Ginger_18"	"Ivy_18"	"Franc_19"	"Ivy_19"	"Ginger_2"	"Ginger_20"	"Buddy_21"	"Joans_21"	"Franc_22"	"Grogu_22"	"Henry_22"	"Joans_22"	"Marshmallow_22"	"Franc_24"	"Ginger_24"	"Henry_24"	"Ivy_24"	"Marshmallow_24"	"Henry_25"	"Ginger_29"	"Henry_29"	"Joans_29"	"Ginger_36"	"Grogu_36"	"Henry_36"	"Franc_37"	"Grogu_37"	"Grogu_41"	"Joans_41"	"Marshmallow_41"	"Ginger_42"	"Grogu_42"	"Henry_42"	"Ivy_42"	"Buddy_44"	"Franc_44"	"Ginger_44"	"Ivy_44"	"Joans_44"	"Marshmallow_44"	"Buddy_45"	"Franc_45"	"Grogu_45"	"Henry_45"	"Ivy_45"	"Joans_45"	"Marshmallow_45"	"Buddy_46"	"Charles_46"	"Ivy_46"	"Joans_46"	"Marshmallow_46"	"Franc_47"	"Ginger_47"	"Ivy_47"	"Marshmallow_47"	"Buddy_48"	"Charles_48"	"Franc_48"	"Grogu_48"	"Ivy_48"	"Joans_48"	"Marshmallow_48"	"Charles_49"	"Franc_49"	"Ginger_49"	"Henry_49"	"Ivy_49"	"Joans_49"	"Marshmallow_49"	"Padme_5"	"Buddy_50"	"Charles_50"	"Franc_50"	"Ginger_50"	"Grogu_50"	"Ivy_50"	"Joans_50"	"Charles_51"	"Franc_51"	"Joans_51"	"Buddy_52"	"Charles_52"	"Ginger_52"	"Grogu_52"	"Marshmallow_52"	"Franc_53"	"Marshmallow_53"	"Charles_55"	"Ginger_55"	"Ivy_55"	"Buddy_56"	"Franc_56"	"Grogu_56"	"Joans_56"	"Buddy_57"	"Joans_57"	"Ginger_58"	"Henry_59"	"Padme_6"	"Joans_60"	"Marshmallow_60"	"Joans_62"	"Henry_66"	"Ivy_67"	"Franc_68"	"Ginger_7"	"Padme_7"	"Grogu_70"	"Charles_9"	"Franc_9"	"Grogu_9"	"Henry_9"	"Ivy_9"
"k__Bacteria|p__Bacillota|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae"	0.219333333333333	0.270444444444444	0.359111111111111	0.581777777777778	0.0184444444444444	0.150222222222222	0.126888888888889	0.000222222222222222	0.241555555555556	0.274666666666667	0.11	0.199333333333333	0.154444444444444	0.0433333333333333	0.140444444444444	0.198444444444444	0.409555555555556	0.186222222222222	0.0151111111111111	0.102666666666667	0.293555555555556	0.220222222222222	0.183333333333333	0.191111111111111	0.189555555555556	0.157888888888889	0.0282222222222222	0.187777777777778	0.320222222222222	0.256	0.243777777777778	0.209333333333333	0.00777777777777778	0.178	0.203555555555556	0.00266666666666667	0.0124444444444444	0.112888888888889	0.00577777777777778	0.101777777777778	0.0335555555555556	0.263555555555556	0.0991111111111111	0.103111111111111	0.0944444444444444	0.338222222222222	0.209333333333333	0.15	0.136666666666667	0.207111111111111	0.142222222222222	0.308222222222222	0.309777777777778	0.132444444444444	0.138222222222222	0.0291111111111111	0.0864444444444444	0.164444444444444	0.366666666666667	0.177333333333333	0.130888888888889	0.186	0.394222222222222	0.306222222222222	0.0728888888888889	0.094	0.236222222222222	0.109777777777778	0.00888888888888889	0.207111111111111	0.101111111111111	0.143111111111111	0.154444444444444	0.0977777777777778	0.402	0.295555555555556	0.381777777777778	0.137777777777778	0.160888888888889	0.0251111111111111	0.0724444444444445	0.219333333333333	0.310666666666667	0.373111111111111	0.0582222222222222	0.325777777777778	0.145555555555556	0.143333333333333	0.181111111111111	0.0855555555555556	0.215777777777778	0.0731111111111111	0.281333333333333	0.0275555555555556	0.112888888888889	0.184666666666667	0.0162222222222222	0.0393333333333333	0.350111111111111	0.0782222222222222	0.144444444444444	0.178222222222222	0.026	0.336	0.136666666666667	0.123111111111111	0.273777777777778	0.248222222222222	0.0171111111111111	0.274666666666667	0.0704444444444444	0.304	0.0724444444444445	0.259111111111111	0.249777777777778	0.109777777777778	0.0251111111111111	0.05	0.259777777777778	0.088	0.136	0.158	0.0893333333333333
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae"	0.0191111111111111	0.194666666666667	0.00555555555555556	0.00866666666666667	0.00266666666666667	0.0353333333333333	0.00511111111111111	0.000222222222222222	0.608	0.0146666666666667	0.0213333333333333	0.00266666666666667	0.0202222222222222	0.222444444444444	0.0146666666666667	0.107555555555556	0.242666666666667	0.00666666666666667	0.800444444444444	0.00733333333333333	0.00333333333333333	0.250666666666667	0.00577777777777778	0.00577777777777778	0.008	0.0195555555555556	0.604888888888889	0.00244444444444444	0.00866666666666667	0.00444444444444444	0.282444444444444	0.00244444444444444	0.858888888888889	0.0115555555555556	0.0235555555555556	0.894666666666667	0.857333333333333	0.0604444444444444	0.000222222222222222	0.006	0.626888888888889	0.002	0.00911111111111111	0.334888888888889	0.0246666666666667	0.000444444444444444	0.0358888888888889	0.222	0.412444444444444	0.215111111111111	0.0197777777777778	0.202222222222222	0.00111111111111111	0.0102222222222222	0.190666666666667	0.717777777777778	0.314222222222222	0.176666666666667	0.006	0.160888888888889	0.514444444444444	0.0177777777777778	0.000888888888888889	0.00488888888888889	0.369111111111111	0.626222222222222	0.0186666666666667	0.0244444444444444	0.882222222222222	0.00755555555555556	0.072	0.191111111111111	0.002	0.0373333333333333	0.000666666666666667	0.00488888888888889	0.00622222222222222	0.123555555555556	0.382222222222222	0.00333333333333333	0.199333333333333	0.00466666666666667	0.0211111111111111	0.00111111111111111	0.665777777777778	0.0144444444444444	0.0915555555555556	0.0102222222222222	0.0126666666666667	0.113333333333333	0.293777777777778	0.00688888888888889	0.00266666666666667	0.738666666666667	0.114666666666667	0.00422222222222222	0.872444444444444	0.00955555555555555	0.00555555555555556	0.00555555555555556	0.215777777777778	0.012	0.786222222222222	0.086	0.366222222222222	0.364888888888889	0.00466666666666667	0.00511111111111111	0.000666666666666667	0.056	0.146444444444444	0.0322222222222222	0.00444444444444444	0.0117777777777778	0.0944444444444444	0.00311111111111111	0.00222222222222222	0.000444444444444444	0.00288888888888889	0.00111111111111111	0.0177777777777778	0.00788888888888889	0.174
"k__Bacteria|p__Bacillota|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae"	0.148	0.0935555555555556	0.0748888888888889	0.0708888888888889	0.016	0.195111111111111	0.13	0.000444444444444444	0.0344444444444444	0.236666666666667	0.159333333333333	0.182	0.229111111111111	0.0284444444444444	0.368444444444444	0.159777777777778	0.121555555555556	0.152444444444444	0.104	0.287111111111111	0.122666666666667	0.178666666666667	0.152	0.304222222222222	0.189111111111111	0.216555555555556	0.201111111111111	0.0942222222222222	0.189333333333333	0.157777777777778	0.236888888888889	0.136444444444444	0.0584444444444444	0.290666666666667	0.177777777777778	0.0393333333333333	0.0657777777777778	0.215555555555556	0.0137777777777778	0.109111111111111	0.0915555555555556	0.125555555555556	0.112	0.215777777777778	0.113333333333333	0.08	0.206111111111111	0.223111111111111	0.125111111111111	0.188888888888889	0.137333333333333	0.0784444444444444	0.0846666666666667	0.117777777777778	0.178444444444444	0.0746666666666667	0.134222222222222	0.234666666666667	0.0833333333333333	0.247777777777778	0.0826666666666667	0.116	0.0442222222222222	0.113111111111111	0.0991111111111111	0.101555555555556	0.218888888888889	0.165777777777778	0.0286666666666667	0.202444444444444	0.231555555555556	0.131555555555556	0.0417777777777778	0.149111111111111	0.0886666666666667	0.238888888888889	0.164444444444444	0.250444444444444	0.0973333333333333	0.145111111111111	0.211777777777778	0.0986666666666667	0.176444444444444	0.164666666666667	0.130222222222222	0.151777777777778	0.197555555555556	0.183777777777778	0.146888888888889	0.179111111111111	0.16	0.298444444444444	0.192666666666667	0.104888888888889	0.179111111111111	0.158444444444444	0.0524444444444444	0.153333333333333	0.157111111111111	0.174666666666667	0.0655555555555556	0.178444444444444	0.0762222222222222	0.206888888888889	0.208222222222222	0.0517777777777778	0.198222222222222	0.192	0.0995555555555555	0.293555555555556	0.121333333333333	0.145333333333333	0.123111111111111	0.105333333333333	0.114222222222222	0.0411111111111111	0.0642222222222222	0.0126666666666667	0.101333333333333	0.0237777777777778	0.200222222222222	0.0876666666666667	0.102888888888889
"k__Bacteria|p__Bacillota|c__Negativicutes|o__Veillonellales|f__Veillonellaceae"	0.124222222222222	0.0935555555555556	0.00933333333333333	0.0797777777777778	0.0437777777777778	0.163111111111111	0.129555555555556	0.000444444444444444	0.000222222222222222	0.132222222222222	0.0513333333333333	0.156	0.116222222222222	0.014	0.103333333333333	0.0677777777777778	0.000222222222222222	0.160444444444444	0.0113333333333333	0.119333333333333	0.0824444444444444	0.146	0.124888888888889	0.113333333333333	0.161777777777778	0.147	0.0262222222222222	0.0753333333333333	0.227777777777778	0.0711111111111111	0.0535555555555556	0.134	0.00844444444444444	0.112222222222222	0.100444444444444	0.00955555555555555	0.0135555555555556	0.19	0.00555555555555556	0.0922222222222222	0.0553333333333333	0.201111111111111	0.0513333333333333	0.0682222222222222	0.0366666666666667	0.352666666666667	0.203	0.0613333333333333	0.142666666666667	0.0662222222222222	0.202888888888889	0.219555555555556	0.422666666666667	0.112222222222222	0.0528888888888889	0.0522222222222222	0.0442222222222222	0.0508888888888889	0.313111111111111	0.0715555555555556	0.128222222222222	0.379111111111111	0.350666666666667	0.114222222222222	0.0737777777777778	0.0415555555555556	0.0235555555555556	0.211111111111111	0.0193333333333333	0.0946666666666667	0.208	0.213333333333333	0.00644444444444444	0.235111111111111	0.365555555555556	0.215555555555556	0.0897777777777778	0.120888888888889	0.137111111111111	0.0875555555555556	0.0493333333333333	0.382	0.124444444444444	0.273777777777778	0.0664444444444444	0.242666666666667	0.0391111111111111	0.207777777777778	0.175555555555556	0.0568888888888889	0.102666666666667	0.0591111111111111	0.227777777777778	0.0293333333333333	0.103555555555556	0.234	0.0162222222222222	0.349777777777778	0.221111111111111	0.201777777777778	0.0595555555555556	0.113777777777778	0.014	0.0868888888888889	0.0706666666666667	0.0708888888888889	0.253333333333333	0.252666666666667	0.07	0.105333333333333	0.0842222222222222	0.253111111111111	0.066	0.159555555555556	0.203777777777778	0.0952222222222222	0.0215555555555556	0.00866666666666667	0.00777777777777778	0.0662222222222222	0.226444444444444	0.0411111111111111	0.0877777777777778
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae"	0.160444444444444	0.152666666666667	0.0284444444444444	0.0355555555555556	0.488444444444444	0.0846666666666667	0.282	0.000444444444444444	0.000222222222222222	0.132444444444444	0.00133333333333333	0.166666666666667	0.000444444444444444	0.016	0.159111111111111	0.136222222222222	0.119111111111111	0.204666666666667	0.00577777777777778	0.126888888888889	0.0235555555555556	0.101777777777778	0.178222222222222	0.251555555555556	0.120666666666667	0.000222222222222222	0.00333333333333333	0.112666666666667	0.0857777777777778	0.121555555555556	0.0575555555555556	0.117555555555556	0.00777777777777778	0.07	0.170666666666667	0.00755555555555556	0.00511111111111111	0.0595555555555556	0.668666666666667	0.136222222222222	0.0888888888888889	0.0848888888888889	0.000888888888888889	0.084	0.000222222222222222	0.0573333333333333	0.0894444444444444	0.214444444444444	0.054	0.221555555555556	0.165333333333333	0.028	0.0528888888888889	0.000444444444444444	0.306666666666667	0.0213333333333333	0.230222222222222	0.276222222222222	0.000666666666666667	0.202666666666667	0.0455555555555556	0.0908888888888889	0.0146666666666667	0.000888888888888889	0.0433333333333333	0.0535555555555556	0.114222222222222	0.162222222222222	0.0102222222222222	0.00666666666666667	0.122888888888889	0.0273333333333333	0.0208888888888889	0.131111111111111	0.0413333333333333	0.0535555555555556	0.00488888888888889	0.266444444444444	0.0304444444444444	0.128222222222222	0.0413333333333333	0.0902222222222222	0.119333333333333	0.0506666666666667	0.008	0.0657777777777778	0.366444444444444	0.197777777777778	0.174888888888889	0.398666666666667	0.0755555555555556	0.284888888888889	0.0915555555555556	0.0193333333333333	0.114444444444444	0.167111111111111	0.00488888888888889	0.159333333333333	0.0658888888888889	0.006	0.0302222222222222	0.00444444444444444	0.00888888888888889	0.161333333333333	0.084	0.0364444444444444	0.0982222222222222	0.139111111111111	0.132444444444444	0.078	0.0922222222222222	0.183333333333333	0.202666666666667	0.000666666666666667	0.0857777777777778	0.0655555555555556	0.0715555555555556	0.588666666666667	0.0277777777777778	0.0208888888888889	0.118222222222222	0.0978888888888889	0.0446666666666667
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae"	0.204	0.0817777777777778	0.0902222222222222	0.000666666666666667	0	0.046	0.116444444444444	0.972666666666667	0.0702222222222222	0	0.000222222222222222	0.0837777777777778	0.000222222222222222	0.599555555555556	0.00133333333333333	0	0.000222222222222222	0.0142222222222222	0.000222222222222222	0.103777777777778	0.136888888888889	0	0.0413333333333333	0	0.114666666666667	0.000333333333333333	0	0.28	0.000444444444444444	0.100888888888889	0	0.0606666666666667	0	0.0153333333333333	0.000444444444444444	0	0	0.0976666666666667	0.000222222222222222	0.272444444444444	0.00711111111111111	0	0.000222222222222222	0.000222222222222222	0.000444444444444444	0	0.0154444444444444	0	0.00622222222222222	0.000222222222222222	0.0331111111111111	0.00377777777777778	0	0.0106666666666667	0	0	0	0.000666666666666667	0.000444444444444444	0	0.00266666666666667	0.000666666666666667	0.08	0	0.196888888888889	0	0.118444444444444	0	0	0.000444444444444444	0.0182222222222222	0.152666666666667	0.510222222222222	0	0.000222222222222222	0.00288888888888889	0.0262222222222222	0.000222222222222222	0.0415555555555556	0.502888888888889	0.287555555555556	0.0995555555555555	0	0.000444444444444444	0	0	0	0.0442222222222222	0	0	0.000888888888888889	0.00377777777777778	0.000444444444444444	0	0.135555555555556	0	0	0.00244444444444444	0	0.000222222222222222	0.380666666666667	0	0	0	0.000222222222222222	0.272444444444444	0	0.004	0.485111111111111	0.0711111111111111	0.379777777777778	0.00755555555555556	0.00177777777777778	0.153555555555556	0.0775555555555556	0.616333333333333	0.548222222222222	0.115555555555556	0.425777777777778	0.749777777777778	0.0231111111111111	0.333888888888889	0.169333333333333
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae"	0.0544444444444444	0.0648888888888889	0.0988888888888889	0.109777777777778	0.0108888888888889	0.0528888888888889	0.114222222222222	0.00155555555555556	0.0115555555555556	0.0368888888888889	0.0677777777777778	0.123555555555556	0.140666666666667	0.0117777777777778	0.0684444444444444	0.0346666666666667	0.0428888888888889	0.164	0.0222222222222222	0.0862222222222222	0.104888888888889	0.0615555555555556	0.128444444444444	0.0673333333333333	0.0722222222222222	0.158333333333333	0.0786666666666667	0.0415555555555556	0.104444444444444	0.09	0.0613333333333333	0.147333333333333	0.0184444444444444	0.135555555555556	0.182444444444444	0.0244444444444444	0.022	0.171777777777778	0.0122222222222222	0.0673333333333333	0.0646666666666667	0.101333333333333	0.0711111111111111	0.0586666666666667	0.0906666666666667	0.0453333333333333	0.162777777777778	0.0557777777777778	0.0595555555555556	0.0348888888888889	0.128888888888889	0.0582222222222222	0.0528888888888889	0.104444444444444	0.0371111111111111	0.0708888888888889	0.0424444444444444	0.054	0.0946666666666667	0.0582222222222222	0.0568888888888889	0.102444444444444	0.0437777777777778	0.0406666666666667	0.0866666666666667	0.0295555555555556	0.113555555555556	0.132888888888889	0.0211111111111111	0.154	0.111111111111111	0.103777777777778	0.0588888888888889	0.192444444444444	0.0662222222222222	0.0713333333333333	0.0742222222222222	0.0335555555555556	0.103777777777778	0.0475555555555556	0.0504444444444444	0.0453333333333333	0.111333333333333	0.0811111111111111	0.046	0.103777777777778	0.044	0.0862222222222222	0.11	0.0342222222222222	0.0628888888888889	0.136222222222222	0.116888888888889	0.0322222222222222	0.088	0.096	0.0168888888888889	0.0693333333333333	0.107	0.157111111111111	0.058	0.180888888888889	0.032	0.0613333333333333	0.0497777777777778	0.0431111111111111	0.116444444444444	0.0244444444444444	0.0848888888888889	0.0751111111111111	0.072	0.0313333333333333	0.100444444444444	0.0928888888888889	0.109111111111111	0.0332222222222222	0.120888888888889	0.00444444444444444	0.0857777777777778	0.0357777777777778	0.0728888888888889	0.00755555555555556	0.0897777777777778
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae"	0.0206666666666667	0.0115555555555556	0.052	0.0346666666666667	0.0557777777777778	0.0695555555555556	0.0431111111111111	0.00222222222222222	0.00511111111111111	0.0366666666666667	0.347777777777778	0.0295555555555556	0.163555555555556	0.0297777777777778	0.08	0.0468888888888889	0.0157777777777778	0.0475555555555556	0.0353333333333333	0.0877777777777778	0.166888888888889	0.00733333333333333	0.09	0.0293333333333333	0.0508888888888889	0.136333333333333	0.0457777777777778	0.0935555555555556	0.0188888888888889	0.0784444444444444	0.0257777777777778	0.0526666666666667	0.0322222222222222	0.104666666666667	0.0544444444444444	0.0124444444444444	0.0137777777777778	0.02	0.0506666666666667	0.106	0.00955555555555555	0.0642222222222222	0.542444444444444	0.068	0.244	0.0568888888888889	0.0256666666666667	0.0393333333333333	0.0264444444444444	0.0288888888888889	0.0831111111111111	0.016	0.0317777777777778	0.282666666666667	0.0511111111111111	0.0135555555555556	0.0706666666666667	0.01	0.0544444444444444	0.0451111111111111	0.0115555555555556	0.0484444444444444	0.0255555555555556	0.242444444444444	0.0133333333333333	0.01	0.0891111111111111	0.084	0.0157777777777778	0.243777777777778	0.0413333333333333	0.0137777777777778	0.0168888888888889	0.0637777777777778	0.012	0.0586666666666667	0.163333333333333	0.026	0.0146666666666667	0.0297777777777778	0.0162222222222222	0.0215555555555556	0.0722222222222222	0.0184444444444444	0.00933333333333333	0.0397777777777778	0.0626666666666667	0.0373333333333333	0.0757777777777778	0.0984444444444444	0.0284444444444444	0.0564444444444444	0.0297777777777778	0.0293333333333333	0.0471111111111111	0.0375555555555556	0.0135555555555556	0.0702222222222222	0.0338888888888889	0.278222222222222	0.0182222222222222	0.236888888888889	0.0402222222222222	0.0253333333333333	0.0242222222222222	0.0177777777777778	0.0197777777777778	0.0762222222222222	0.0511111111111111	0.00955555555555555	0.00688888888888889	0.00488888888888889	0.186222222222222	0.0748888888888889	0.0193333333333333	0.004	0.0708888888888889	0.0708888888888889	0.0184444444444444	0.002	0.142	0.0872222222222222	0.182222222222222
"k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae"	0.02	0.0164444444444444	0.00955555555555555	0.0284444444444444	0.130222222222222	0.0402222222222222	0.0204444444444444	0	0.0235555555555556	0.0606666666666667	0.0215555555555556	0.0126666666666667	0.0155555555555556	0.0197777777777778	0.01	0.0226666666666667	0.0282222222222222	0.0277777777777778	0.00111111111111111	0.02	0.00688888888888889	0.014	0.0366666666666667	0.0148888888888889	0.0282222222222222	0.0165555555555556	0.000666666666666667	0.0404444444444444	0.0164444444444444	0.0326666666666667	0.0126666666666667	0.0488888888888889	0.00244444444444444	0.0182222222222222	0.0124444444444444	0.00244444444444444	0.00311111111111111	0.0451111111111111	0.07	0.0482222222222222	0.00777777777777778	0.0497777777777778	0.0337777777777778	0.00644444444444444	0.0893333333333333	0.0153333333333333	0.0261111111111111	0.022	0.0113333333333333	0.0242222222222222	0.04	0.008	0.0162222222222222	0.0351111111111111	0.0335555555555556	0.00133333333333333	0.0188888888888889	0.01	0.0153333333333333	0.0246666666666667	0.00955555555555555	0.018	0.0202222222222222	0.0928888888888889	0.0164444444444444	0.0184444444444444	0.00466666666666667	0.0282222222222222	0.00311111111111111	0.0271111111111111	0.0371111111111111	0.00555555555555556	0.002	0.0308888888888889	0.00533333333333333	0.016	0.052	0.0184444444444444	0.00888888888888889	0.00777777777777778	0.0106666666666667	0.0148888888888889	0.0268888888888889	0.0128888888888889	0.002	0.0217777777777778	0.0291111111111111	0.0317777777777778	0.034	0.0108888888888889	0.00911111111111111	0.0422222222222222	0.0268888888888889	0.004	0.0417777777777778	0.0171111111111111	0.000666666666666667	0.00911111111111111	0.015	0.0331111111111111	0.0111111111111111	0.0295555555555556	0.00155555555555556	0.0224444444444444	0.0173333333333333	0.00911111111111111	0.0126666666666667	0.0337777777777778	0.00733333333333333	0.0171111111111111	0.00844444444444444	0.0317777777777778	0.0302222222222222	0.0217777777777778	0.0253333333333333	0.0125555555555556	0.0102222222222222	0.103111111111111	0.00533333333333333	0.00711111111111111	0.0151111111111111	0.0184444444444444	0.0275555555555556
