"ID"	"hera_1"	"wolverine_1"	"hamlet_11"	"hera_11"	"jarjarbinks_11"	"hera_14"	"iris_14"	"jarjarbinks_14"	"kubo_14"	"wolverine_14"	"jarjarbinks_15"	"kubo_15"	"iris_17"	"kubo_17"	"lambchop_17"	"wolverine_17"	"hamlet_18"	"hera_18"	"iris_18"	"jarjarbinks_18"	"kubo_18"	"lambchop_18"	"wolverine_18"	"ophelia_19"	"wolverine_19"	"hera_2"	"jarjarbinks_2"	"lambchop_2"	"goose_20"	"hamlet_20"	"hera_20"	"iris_20"	"korra_20"	"ophelia_20"	"hamlet_21"	"jarjarbinks_21"	"korra_21"	"kubo_21"	"goose_22"	"hamlet_22"	"hera_22"	"iris_22"	"korra_22"	"kubo_22"	"hamlet_23"	"iris_23"	"korra_23"	"goose_24"	"hera_24"	"kubo_24"	"ophelia_24"	"wolverine_24"	"kubo_25"	"lambchop_25"	"jarjarbinks_29"	"korra_29"	"jarjarbinks_3"	"kubo_30"	"hamlet_31"	"jarjarbinks_32"	"goose_37"	"hera_37"	"kubo_37"	"lambchop_37"	"ophelia_37"	"wolverine_37"	"goose_4"	"hamlet_41"	"hera_41"	"goose_42"	"lambchop_42"	"ophelia_43"	"goose_44"	"iris_44"	"jarjarbinks_44"	"lambchop_44"	"hamlet_45"	"hera_45"	"jarjarbinks_45"	"korra_45"	"ophelia_45"	"goose_46"	"hamlet_46"	"iris_46"	"lambchop_46"	"hamlet_48"	"hera_48"	"iris_48"	"jarjarbinks_48"	"korra_48"	"kubo_48"	"lambchop_48"	"ophelia_48"	"wolverine_48"	"iris_49"	"jarjarbinks_49"	"kubo_49"	"ophelia_49"	"wolverine_49"	"jarjarbinks_50"	"korra_50"	"kubo_50"	"lambchop_50"	"ophelia_50"	"wolverine_50"	"lambchop_51"	"goose_52"	"jarjarbinks_52"	"kubo_52"	"hera_53"	"kubo_53"	"iris_55"	"lambchop_55"	"ophelia_55"	"ophelia_57"	"wolverine_57"	"goose_58"	"wolverine_58"	"goose_59"	"hamlet_59"	"iris_59"	"ophelia_59"	"korra_6"	"iris_60"	"wolverine_60"	"hamlet_67"	"hera_67"	"jarjarbinks_68"	"hera_7"	"iris_7"	"korra_9"	"ophelia_9"
"g__Megamonas"	1470	1575	1020	1748	699	1818	823	593	422	1327	1051	1514	924	1514	848	2062	783	705	769	622	1334	1058	1675	777	1263	78	261	13	721	412	393	1569	456	598	1004	491	649	903	721	336	560	1712	617	1057	815	944	693	772	656	1073	1067	2442	421	1382	1050	1142	904	532	1406	932	554	590	1707	365	219	1497	0	2027	1380	607	542	1010	818	1099	43	839	418	410	378	495	1239	198	644	738	1177	501	473	965	439	689	751	871	342	1184	948	373	857	222	1073	405	699	626	1209	95	1570	1299	849	479	364	893	638	1017	665	724	627	1007	674	1812	584	817	404	207	1044	177	1528	70	1747	661	1367	1330	623	1196
"g__Phascolarctobacterium"	809	606	283	290	691	605	455	835	463	582	574	497	877	308	0	298	1326	1015	752	752	767	0	621	1230	495	278	63	203	611	1054	1357	521	726	611	1036	650	710	1021	432	180	1043	465	519	836	1121	568	571	962	964	449	610	345	533	1023	653	390	737	596	567	1302	1027	809	704	767	376	829	0	1593	688	792	1052	745	477	463	81	1214	529	559	189	317	571	913	628	654	575	987	1032	667	663	506	1033	678	924	327	609	693	1045	956	719	760	1209	1157	816	221	380	498	642	1119	581	1309	1113	790	415	692	435	230	724	382	908	654	954	513	1912	713	448	156	549	606	695	1548	381	921
"g__Megasphaera"	310	425	62	140	66	154	202	106	79	307	156	225	578	418	313	445	476	633	540	366	395	1508	592	321	444	64	84	9	983	134	426	617	232	125	394	1273	575	387	560	99	7	697	257	316	428	880	482	408	473	533	152	278	164	323	416	244	758	251	437	1185	442	273	242	573	65	345	0	376	211	729	341	155	1411	418	60	220	203	261	54	439	157	363	397	415	199	399	366	664	406	682	274	1198	154	346	1189	628	429	154	394	1313	405	555	412	29	396	1020	868	961	237	341	496	720	267	90	208	244	920	286	730	299	590	272	357	317	536	41	911	554	707	1731	424	211
"g__Phocaeicola"	260	297	478	277	394	442	231	662	157	83	342	153	186	168	0	538	511	708	320	211	239	0	286	566	244	851	610	789	132	596	660	126	182	326	310	245	155	256	115	132	66	233	178	125	559	114	116	118	905	134	632	235	166	150	152	67	110	46	407	279	66	925	221	65	258	178	1	785	495	56	126	334	17	271	86	52	1323	1250	162	209	382	259	856	331	132	724	690	166	111	83	508	43	919	331	106	144	315	899	369	100	48	280	65	161	154	34	81	93	93	270	328	126	129	348	835	180	50	121	63	593	287	367	503	427	259	2007	71	163	279	158	296	404
"g__Shigella"	2	0	7	174	264	142	0	53	1378	0	91	273	1	133	1194	0	6	3	0	52	12	491	0	1	0	1	2	6	0	1048	27	0	529	1378	358	67	514	142	407	2644	0	0	928	104	19	0	782	55	2	398	14	1	3	57	188	1149	11	68	31	792	97	3	41	169	1683	13	3488	73	27	34	3	74	64	0	18	2	1	5	32	232	31	1	4	113	4	1	22	0	671	370	1	4	11	802	1	109	0	117	255	55	44	18	2	1938	1026	0	1	17	761	27	44	0	10	375	36	1685	205	801	44	106	0	335	9	0	159	7	0	151	0	0	33	0
"g__Oribacterium"	212	177	91	181	69	177	87	166	62	158	190	120	226	221	0	134	226	256	152	260	119	0	198	127	120	79	33	12	460	133	427	222	529	91	165	214	293	147	374	75	155	129	266	99	242	256	253	297	258	356	112	147	54	1	378	107	593	108	160	712	342	312	141	400	63	259	0	978	254	294	107	166	370	197	32	178	117	201	60	237	137	257	222	230	43	386	402	267	331	160	130	168	134	176	274	746	131	166	268	280	203	210	55	23	83	49	249	407	233	289	237	287	42	147	150	164	98	163	295	279	404	144	378	206	117	72	139	315	293	1062	366	192
"g__Segatella"	330	0	4	5	25	17	31	16	20	9	8	19	33	38	0	0	18	17	56	314	107	0	0	35	57	984	112	13	200	9	11	35	249	17	35	286	289	69	375	19	564	37	159	60	15	99	140	386	22	281	24	1	78	734	136	36	210	28	52	513	480	42	243	366	14	11	1	68	27	320	1356	8	68	48	1035	1062	85	56	12	829	24	709	80	63	1304	33	22	47	242	406	512	270	52	24	43	273	506	61	18	214	776	334	952	4	4	777	393	235	598	9	243	32	2077	20	60	6	200	3	330	28	55	128	153	69	13	5	4	303	70	85	618	15
"g__Anaerobiospirillum"	0	0	1	0	25	0	0	0	67	0	0	33	0	129	0	0	0	0	0	912	72	0	2	0	0	0	2	2329	118	1	1	0	0	0	0	303	0	175	117	0	1157	0	0	697	0	1	0	119	0	0	1	0	1982	2	490	0	75	1895	0	606	310	0	0	415	0	0	1	1	0	302	14	0	101	0	835	36	0	0	0	5	0	210	0	0	38	1	1	0	166	2	0	252	0	0	0	117	0	0	0	145	1	0	41	0	0	24	340	39	0	1	1	0	14	0	0	0	394	1	413	0	0	0	1531	0	0	1	1	248	0	0	0	0
"g__Escherichia"	4	0	9	167	167	5	0	0	751	0	1	165	0	78	1552	0	1	0	0	22	4	666	0	3	0	0	1	9	1	23	0	0	362	27	5	31	339	84	256	163	0	0	600	74	23	0	505	35	0	235	1	1	2	110	92	679	5	37	5	380	67	0	26	91	860	0	1873	204	82	19	7	41	36	0	6	3	4	14	16	152	13	0	14	5	6	5	62	0	393	223	0	5	4	7	0	53	0	52	15	30	26	2	13	991	23	1	0	9	441	21	0	0	40	212	22	14	154	3	36	134	0	189	6	0	5	8	1	60	0	0	17	0
"g__Bacteroides"	30	72	77	33	139	36	1168	233	56	350	122	61	233	37	0	83	50	108	268	41	49	0	53	81	238	121	519	46	18	59	94	108	53	85	51	42	20	50	22	27	18	59	35	32	74	27	19	16	75	28	180	38	69	0	27	14	21	17	67	77	17	108	70	15	91	49	0	111	71	14	16	99	6	171	59	11	149	247	43	39	107	54	99	187	27	173	191	126	25	14	127	9	376	83	34	44	61	393	79	30	10	80	7	53	26	5	17	17	44	42	67	70	19	107	234	43	12	34	19	144	94	123	190	409	63	325	20	48	25	69	52	119
"g__Parabacteroides"	12	53	17	13	49	15	153	105	28	75	60	38	105	112	0	142	22	37	153	72	187	0	104	100	145	43	385	39	40	48	58	60	106	101	42	101	85	129	52	23	0	114	85	119	33	56	81	74	54	76	165	167	90	1	86	30	51	32	87	205	46	85	20	60	51	85	0	55	37	40	50	41	13	291	197	20	75	78	26	236	68	73	49	406	47	89	68	174	92	158	80	28	105	145	97	137	80	124	124	131	101	128	12	40	35	12	31	170	146	22	65	64	46	60	307	32	16	41	40	66	184	198	200	492	60	185	15	104	16	129	263	40
"g__Prevotellamassilia"	111	0	22	15	23	45	0	108	43	0	70	58	0	80	0	0	117	69	0	82	116	0	0	222	0	516	0	180	89	51	45	0	73	126	122	76	72	63	44	49	1	0	45	105	99	0	69	65	125	38	112	0	168	0	65	32	60	34	118	153	70	136	0	71	30	0	0	142	134	66	0	59	16	0	570	0	478	172	20	404	70	176	464	0	0	169	108	0	97	204	0	62	143	0	0	50	0	181	0	65	202	0	0	19	0	0	84	53	123	46	0	0	1	60	359	0	40	0	43	182	0	305	227	0	0	523	18	79	103	0	239	70
"g__Blautia"	59	131	59	95	131	47	46	287	52	195	546	268	51	224	0	85	64	90	18	35	63	0	114	66	67	2	38	1	5	72	61	39	42	142	88	36	34	149	54	62	41	32	26	43	7	14	33	83	64	103	329	56	9	0	27	11	80	23	88	75	24	33	41	22	50	82	0	118	55	25	1	214	60	76	2	6	18	20	138	45	159	24	30	21	9	23	52	34	18	174	33	16	56	22	3	44	30	37	13	16	16	25	54	14	14	10	6	32	35	31	43	99	7	109	114	57	7	48	20	106	20	24	114	30	24	9	55	50	33	66	45	244
"g__Sutterella"	49	26	26	18	23	66	51	31	14	15	24	15	18	30	11	10	9	23	26	51	38	99	13	70	26	289	52	154	105	3	19	52	96	34	6	45	31	10	54	10	127	21	48	10	38	24	55	70	43	31	25	17	11	44	51	24	70	7	69	139	79	44	28	86	9	11	1	111	63	98	96	61	31	80	133	46	122	37	12	93	67	198	109	65	182	24	20	45	94	61	36	62	37	49	53	67	71	46	82	97	36	45	95	5	45	76	88	50	39	21	18	51	104	36	74	23	104	12	80	33	77	40	44	54	99	27	10	99	74	138	160	28
"g__Fusobacterium"	26	103	1500	332	790	149	191	13	183	56	27	185	11	1	0	0	5	0	23	3	2	0	3	0	121	14	53	0	2	5	0	96	0	0	10	0	0	3	6	3	0	52	0	2	202	15	0	13	8	0	1	1	7	1	0	0	0	13	5	0	12	27	180	3	12	90	0	98	52	0	149	27	0	114	0	94	37	62	5	0	21	57	4	71	115	7	2	48	7	0	112	1	27	21	16	1	17	3	37	0	0	14	21	3	28	11	0	0	2	37	57	48	22	25	7	30	1	18	8	80	19	0	192	11	79	18	3	54	25	140	2	15
"g__Xylanibacter"	0	0	0	0	0	0	209	0	0	51	0	0	266	0	0	0	0	0	369	0	0	0	1	0	394	2	48	0	77	1	0	219	0	0	0	0	0	0	43	0	87	232	0	1	1	617	1	42	0	1	1	17	0	0	0	0	0	0	0	0	33	1	0	37	0	99	0	0	0	53	0	0	11	244	0	0	0	0	0	1	0	67	0	254	0	0	0	257	0	1	0	27	0	174	263	0	0	0	99	0	0	0	0	0	17	0	44	0	0	0	0	231	0	0	0	29	25	25	29	0	412	1	0	339	59	0	0	0	0	425	0	0
"g__Clostridium"	34	30	52	61	30	26	32	178	21	97	105	54	40	143	38	42	46	43	50	28	89	81	61	60	39	25	14	6	27	22	51	29	15	43	38	18	20	59	18	5	4	9	21	43	43	56	20	31	25	16	44	44	29	1	17	6	28	36	30	37	14	116	29	20	20	37	20	130	52	11	0	79	9	34	2	3	50	42	36	23	60	9	67	26	2	92	83	49	45	28	40	4	85	41	53	39	99	107	39	21	14	45	1	24	21	1	6	43	39	87	85	64	2	53	35	23	6	39	12	42	73	27	143	72	31	19	54	18	42	79	109	83
"g__Enterobacter"	0	0	0	1	6	1	0	0	3	0	0	5	0	2	0	0	0	0	0	0	1	0	0	0	0	0	2	1	0	0	0	0	4	0	0	0	0	4	0	0	0	0	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	8	67	0	0	0	0	0	4	0	0	65	46	0	0	381	0	1	0	0	4	11	2524	0	441	0	9	0	0	0	1	0	0	0	0	0	168	0	0	0	0	66	0	0	0	0	0	247	0	0	0	0	0	1	0	0	0	510	18	0	0	0	0	4	0	794	0	4	82	0	0	1	0	0	0	0
"g__Wansuia"	37	37	21	34	27	16	21	57	21	33	100	47	89	18	0	16	52	18	38	32	18	0	30	48	19	5	4	2	118	17	33	34	43	23	16	30	29	52	111	11	42	31	26	24	29	21	16	70	32	25	43	14	16	2	48	10	63	17	18	113	33	29	21	61	26	58	0	101	17	48	0	76	44	49	11	4	7	22	34	25	37	27	9	41	4	40	31	46	38	35	24	22	34	25	29	120	15	47	21	52	28	29	5	12	11	4	17	62	57	86	48	60	14	46	60	47	4	36	32	49	49	25	167	46	20	10	22	45	22	139	33	110
"g__Duodenibacillus"	13	41	4	7	18	18	12	13	16	3	6	15	13	37	2	15	34	55	14	20	34	3	23	26	8	461	411	101	22	21	21	9	37	17	28	6	16	11	10	9	10	1	25	29	11	3	26	15	4	10	17	25	25	6	14	5	17	9	28	58	20	25	25	27	7	25	0	77	24	21	0	17	13	12	472	0	44	24	8	49	23	42	73	17	2	24	27	22	23	21	25	13	19	45	23	25	46	28	89	31	51	55	1	3	69	1	19	17	39	18	18	27	0	14	17	13	16	15	21	10	44	20	22	37	103	317	5	16	48	36	45	15
"g__Succinatimonas"	41	76	19	30	41	38	23	32	72	23	33	30	37	15	0	24	44	30	24	19	22	0	23	35	26	19	8	2	29	101	61	23	65	26	63	4	10	46	22	8	27	16	43	43	29	4	15	47	29	14	36	14	23	0	13	11	31	13	62	50	24	24	45	48	14	32	0	257	78	69	14	50	33	25	3	45	16	20	15	0	53	43	26	29	22	15	23	36	14	1	85	32	37	13	11	26	48	44	44	1	14	44	33	6	16	14	19	15	20	23	53	20	14	44	38	55	31	24	33	21	30	21	128	26	35	15	13	22	43	65	4	55
"g__Collinsella"	11	54	16	22	6	12	10	39	2	28	28	8	2	15	0	7	6	17	76	3	41	0	11	36	25	18	383	5	7	5	8	4	5	3	36	0	24	20	0	46	4	9	4	5	1	6	5	3	88	10	40	13	2	14	9	2	6	77	18	52	9	52	18	12	10	120	0	15	12	4	12	5	71	22	14	19	187	260	7	32	13	52	53	6	5	15	9	3	4	43	4	5	59	44	13	7	17	17	36	6	3	40	7	7	16	10	11	12	6	249	85	4	33	58	61	11	11	21	4	66	15	34	12	10	109	33	86	67	3	3	61	8
"g__Enterocloster"	19	14	28	49	17	22	23	65	9	102	39	25	31	90	0	34	44	28	41	21	80	0	36	29	39	4	2	0	27	25	24	33	24	19	29	11	30	38	21	7	12	7	23	28	21	33	36	26	15	36	33	34	21	0	20	11	15	24	25	34	16	57	14	21	14	24	0	85	32	18	0	34	21	37	2	0	32	33	19	25	45	18	29	25	0	51	42	35	30	26	34	3	39	19	52	25	62	65	31	21	13	66	0	10	11	0	8	34	25	43	67	44	0	31	13	13	3	23	12	19	49	15	70	88	12	2	41	18	26	78	58	41
"g__Lacrimispora"	37	24	43	52	48	28	31	63	14	102	52	36	76	35	0	12	21	24	52	5	35	0	16	13	21	5	1	0	8	23	59	15	20	8	18	3	5	19	14	8	2	7	13	13	27	9	10	11	26	17	20	6	9	0	4	2	11	10	17	18	10	57	21	11	10	16	0	75	20	8	0	32	8	31	0	1	11	37	12	7	30	9	18	15	1	33	54	23	8	6	40	2	38	12	14	22	44	46	18	7	5	39	3	11	8	0	2	6	8	36	68	25	0	31	11	13	2	21	7	28	37	12	123	54	7	5	34	10	16	48	19	28
"g__Allisonella"	25	0	9	14	4	11	0	2	4	0	3	13	0	15	27	0	7	11	0	10	26	68	0	19	0	4	0	0	40	9	16	0	20	4	12	17	32	11	22	5	4	0	12	11	39	0	20	5	7	22	4	0	8	133	16	15	44	24	16	30	14	6	12	54	1	0	0	19	8	71	59	7	77	0	2	23	8	15	1	39	4	16	18	0	12	30	19	0	21	48	15	59	3	0	0	40	25	6	0	124	44	43	30	1	0	69	103	62	13	21	58	0	21	3	2	0	105	0	58	8	0	1	30	0	0	1	54	37	28	0	16	4
"g__Mediterraneibacter"	13	10	82	130	107	38	5	80	4	23	74	17	7	8	0	2	14	20	5	0	3	0	5	5	8	1	3	0	0	34	17	20	0	23	34	0	1	2	2	27	3	2	0	4	23	26	0	5	44	3	46	1	2	0	0	0	0	2	94	0	2	5	34	0	22	3	0	68	15	1	1	72	1	5	0	3	8	14	52	1	54	0	5	3	7	22	21	10	0	0	5	0	16	2	4	1	7	7	3	1	0	2	3	6	3	9	0	0	2	12	11	6	8	19	28	7	1	5	2	68	3	7	10	2	0	4	44	1	13	15	2	37
